298; 	  38.5952; 	    257; 	  0.2; 	40.00; 	"";
299; 	  39.0238; 	   1793; 	  1.5; 	40.00; 	"";
300; 	  42.2470; 	    271; 	  0.2; 	40.00; 	"";
301; 	  42.4023; 	    259; 	  0.2; 	40.00; 	"";
302; 	  42.7110; 	    149; 	  0.1; 	40.00; 	"";
303; 	  44.2437; 	    262; 	  0.2; 	40.00; 	"";
304; 	  47.4641; 	    107; 	  0.1; 	40.00; 	"";
305; 	  48.8624; 	    180; 	  0.2; 	40.00; 	"";
306; 	  50.0160; 	  23095; 	 19.5; 	40.00; 	"19.50";
307; 	  51.0198; 	   2056; 	  1.7; 	40.00; 	"";
308; 	  53.0013; 	   1180; 	  1.0; 	40.00; 	"";
309; 	  61.0077; 	    115; 	  0.1; 	40.00; 	"";
310; 	  62.0150; 	    548; 	  0.5; 	40.00; 	"";
311; 	  63.0254; 	  18438; 	 15.5; 	40.00; 	"15.50";
312; 	  64.0315; 	   1393; 	  1.2; 	40.00; 	"";
313; 	  65.0363; 	    533; 	  0.4; 	40.00; 	"";
314; 	  66.0081; 	    271; 	  0.2; 	40.00; 	"";
315; 	  73.0081; 	    403; 	  0.3; 	40.00; 	"";
316; 	  74.0154; 	  48537; 	 40.9; 	40.00; 	"40.90";
317; 	  74.0914; 	    107; 	  0.1; 	40.00; 	"";
318; 	  74.3058; 	    256; 	  0.2; 	40.00; 	"";
319; 	  75.0236; 	 118704; 	100.0; 	40.00; 	"100.00";
320; 	  76.0271; 	  15477; 	 13.0; 	40.00; 	"13.00";
321; 	  77.0357; 	    774; 	  0.7; 	40.00; 	"";
322; 	  91.0228; 	    116; 	  0.1; 	40.00; 	"";
323; 	  97.2212; 	    260; 	  0.2; 	40.00; 	"";
324; 	 102.0450; 	    155; 	  0.1; 	40.00; 	"";
325; 	 106.7678; 	    228; 	  0.2; 	40.00; 	"";
326; 	 108.9565; 	    286; 	  0.2; 	40.00; 	"";
327; 	 112.8011; 	    284; 	  0.2; 	40.00; 	"";
328; 	 114.0410; 	    105; 	  0.1; 	40.00; 	"";
329; 	 129.0668; 	    143; 	  0.1; 	40.00; 	"";
330; 	 183.1366; 	    186; 	  0.2; 	40.00; 	"";
331; 	 288.0397; 	    268; 	  0.2; 	40.00; 	"";
332; 	 291.0064; 	    258; 	  0.2; 	40.00; 	"";
333; 	 298.2655; 	    283; 	  0.2; 	40.00; 	"";
334; 	 373.5608; 	    258; 	  0.2; 	40.00; 	"";
335; 	 390.6454; 	    148; 	  0.1; 	40.00; 	"";
336; 	 470.4701; 	    192; 	  0.2; 	40.00; 	"";
337; 	 495.2946; 	    269; 	  0.2; 	40.00; 	"";
338; 	 683.2147; 	    268; 	  0.2; 	40.00; 	"";
